Name,Industry,Sector,Headquarters,Founded,Notes,Status,Status,Source Table
Name,Industry,Sector,Headquarters,Founded,Notes,Unnamed: 6_level_1,Unnamed: 7_level_1,
ABOUTAsia Travel,Consumer services,Travel & tourism,Siem Reap,2007,"Destination management company, founded 2007",P,A,Table 1
ACLEDA Bank,Financials,Banks,Phnom Penh,1993,Domestic commercial bank,P,A,Table 1
Angkor Airways,Consumer services,Airlines,Phnom Penh,2004,"Airline, defunct 2008",P,D,Table 1
ANZ Royal Bank,Financials,Banks,Phnom Penh,2005,"Private bank, part of ANZ (Australia)",P,A,Table 1
Cambodia Airlines,Consumer services,Airlines,Phnom Penh,1997,"Airline, defunct 2014",P,D,Table 1
Cambodia Angkor Air,Consumer services,Airlines,Phnom Penh,2009,Flag carrier,S,A,Table 1
Cambodia Asia Bank,Financials,Banks,Phnom Penh,1993,Bank,P,A,Table 1
Cambodia Commercial Bank,Financials,Banks,Phnom Penh,1991,"Commercial bank, part of Siam Commercial Bank (Thailand)",P,A,Table 1
Cambodian National Insurance Company,Financials,Life insurance,Phnom Penh,1990,Private insurance,P,A,Table 1
Cambrew Brewery,Consumer goods,Brewers,Sihanoukville,1965,Cambodia's largest beer manufacturer,P,A,Table 1
CamGSM,Telecommunications,Mobile telecommunications,Phnom Penh,1996,Mobile telecommunications network,P,A,Table 1
Camnet Internet Service,Telecommunications,Fixed line telecommunications,Phnom Penh,1997,Internet,S,A,Table 1
Canadia Bank,Financials,Banks,Phnom Penh,1991,"Bank, privatized in 1998",P,A,Table 1
Comin Khmere,Industrials,Heavy construction,Siem Reap,1992,General contractor,P,A,Table 1
Hattha Kaksekar,Financials,Banks,Phnom Penh[11],1994,Microfinance,P,A,Table 1
IPR Microfinance Institution,Financials,Banks,Phnom Penh,2005,Domestic agricultural financing,P,A,Table 1
Kampot Cement,Industrials,Building materials & fixtures,Phnom Penh,2005,Cement,P,A,Table 1
Kampuchea Thmei Daily,Consumer services,Publishing,Phnom Penh,1995,Newspaper,P,A,Table 1
Kingdom Breweries,Consumer goods,Brewers,Phnom Penh,2009,Craft brewery,P,A,Table 1
Leopard Capital,Financials,Banks,Phnom Penh,2007,Lending,P,A,Table 1
National Bank of Cambodia,Financials,Banks,Phnom Penh,1954,Central bank,S,A,Table 1
Phnom Penh Commercial Bank,Financials,Banks,Phnom Penh,2008,Commercial bank,P,A,Table 1
Phnom Penh Water Supply Authority (PPWSA),Utilities,Water,Phnom Penh,1993,,P,A,Table 1
PMTair,Consumer services,Airlines,Phnom Penh,2003,"Airline, defunct 2008",P,D,Table 1
President Airlines,Consumer services,Airlines,Phnom Penh,1997,"Airline, defunct 2007",P,D,Table 1
Royal Khmer Airlines,Consumer services,Airlines,Phnom Penh,2000,"Airline, defunct 2007",P,D,Table 1
Royal Phnom Penh Airways,Consumer services,Airlines,Phnom Penh,1999,"Airline, defunct 2004",P,D,Table 1
Siem Reap Airways International,Consumer services,Airlines,Phnom Penh,2000,"Airline, defunct 2008",P,D,Table 1
Sky Angkor Airlines,Consumer services,Airlines,Siem Reap,2011,Airline,P,A,Table 1
Sokimex,Conglomerates,-,Phnom Penh,1990,"Petroleum import/export, hospitality. airlines",P,A,Table 1
Telecom Cambodia,Telecommunications,Fixed line telecommunications,Phnom Penh,2006,Telecom,S,A,Table 1
The Cambodia Daily,Consumer services,Publishing,Phnom Penh,1993,Newspaper,P,A,Table 1
The Phnom Penh Post,Consumer services,Publishing,Phnom Penh,1992,Newspaper,P,A,Table 1
The Royal Group,Conglomerates,-,Phnom Penh,1991,"Telecommunications, media, financials, travel & leisure, agriculture",P,A,Table 1
TonleSap Airlines,Consumer services,Airlines,Phnom Penh,2011,"Regional carrier, defunct 2013",P,D,Table 1
Vattanac Bank,Financials,Banks,Phnom Penh,2002,Retail and commercial bank,P,A,Table 1
